state,year,entity_type,purpose,ref_required,ref_threshold,ref_variation_type,op_codable,op_any_hurdle,op_ballot_required,op_referendum_strict,op_ordinal,op_threshold_num,op_supermajority,verified,data_status
AK,2005,authority,revenue_debt,none,NA,none,1,0,0,0,0,,,0,PRELIMINARY_pass1_AI_unverified
AK,2006,authority,revenue_debt,none,NA,none,1,0,0,0,0,,,0,PRELIMINARY_pass1_AI_unverified
AK,2007,authority,revenue_debt,none,NA,none,1,0,0,0,0,,,0,PRELIMINARY_pass1_AI_unverified
AK,2008,authority,revenue_debt,none,NA,none,1,0,0,0,0,,,0,PRELIMINARY_pass1_AI_unverified
AK,2009,authority,revenue_debt,none,NA,none,1,0,0,0,0,,,0,PRELIMINARY_pass1_AI_unverified
AK,2010,authority,revenue_debt,none,NA,none,1,0,0,0,0,,,0,PRELIMINARY_pass1_AI_unverified
AK,2011,authority,revenue_debt,none,NA,none,1,0,0,0,0,,,0,PRELIMINARY_pass1_AI_unverified
AK,2012,authority,revenue_debt,none,NA,none,1,0,0,0,0,,,0,PRELIMINARY_pass1_AI_unverified
AK,2013,authority,revenue_debt,none,NA,none,1,0,0,0,0,,,0,PRELIMINARY_pass1_AI_unverified
AK,2014,authority,revenue_debt,none,NA,none,1,0,0,0,0,,,0,PRELIMINARY_pass1_AI_unverified
AK,2015,authority,revenue_debt,none,NA,none,1,0,0,0,0,,,0,PRELIMINARY_pass1_AI_unverified
AK,2016,authority,revenue_debt,none,NA,none,1,0,0,0,0,,,0,PRELIMINARY_pass1_AI_unverified
AK,2017,authority,revenue_debt,none,NA,none,1,0,0,0,0,,,0,PRELIMINARY_pass1_AI_unverified
AK,2018,authority,revenue_debt,none,NA,none,1,0,0,0,0,,,0,PRELIMINARY_pass1_AI_unverified
AK,2019,authority,revenue_debt,none,NA,none,1,0,0,0,0,,,0,PRELIMINARY_pass1_AI_unverified
AK,2020,authority,revenue_debt,none,NA,none,1,0,0,0,0,,,0,PRELIMINARY_pass1_AI_unverified
AK,2021,authority,revenue_debt,none,NA,none,1,0,0,0,0,,,0,PRELIMINARY_pass1_AI_unverified
